,hierarchy index
VISp,0.0
AUDp,0.16660725812026425
SSp-ll,0.21854673137485867
AUDd,0.24763778713249088
SSp-n,0.2685464463948801
SSp-ul,0.2813306630459721
AIp,0.30133441253651994
SSp-m,0.33642136968790637
SSp-un,0.35921628520033755
SSp-bfd,0.3730143674363769
VISl,0.39054901681718124
AUDv,0.39244614549090806
SSs,0.405947874984453
VISC,0.43354976497293995
SSp-tr,0.4527774490225996
VISli,0.45472747246148276
MOp,0.4666614151788415
VISrl,0.4814086723444762
VISpl,0.48178005153744824
RSPv,0.48411308049658364
RSPd,0.49471820675264694
GU,0.5189580332450284
RSPagl,0.5295111201960904
PERI,0.533424354684423
ECT,0.5659550416684017
VISal,0.588219380625749
ILA,0.5964192824461552
ORBl,0.597983439866936
AId,0.5987675981164711
VISpm,0.6303242121015837
ORBm,0.6452168888803056
PL,0.6564356149671998
VISpor,0.752949898694514
FRP,0.7536347245926414
AUDpo,0.7558529830704298
TEa,0.775351281932523
VISa,0.8026181909693809
VISam,0.8242674146915726
MOs,0.8468160164633535
ORBvl,0.8797706716160762
ACAv,0.8933228167299946
ACAd,0.9405149136095992
AIv,1.0
